1001,Daryl,7078,1,APU  
1002,Eugene,6784,2,APU  
1003,Shane,8117,1,APU  
1004,John,10466,1,APU  
1005,Robert,5683,2,APU  
1006,Susan,10907,1,Taylors  
1007,Michael,7851,1,Sunway  
1008,Karen,9918,2,Taylors  
1009,William,10297,1,Taylors  
1010,Nancy,7219,1,Xiamen  
1011,David,11577,1,APU  
1012,Jessica,4512,2,UM  
1013,Edmund,8308,1,APU  
1014,Laura,9842,1,INTI  
1015,Charles,11869,1,APU  
1016,Sarah,9449,2,Monash  
1017,Joseph,7975,2,APU  
1018,Megan,5529,1,Xiamen  
1019,Thomas,10722,1,INTI  
1020,Emily,5575,2,Sunway  
1021,Daniel,13992,2,Monash  
1022,Rachel,10213,1,Xiamen  
1023,Brian,7513,1,INTI  
1024,Chloe,13434,2,INTI  
1025,Anthony,13391,1,Monash  
1026,Olivia,11464,1,Xiamen  
1027,Steven,13474,1,Xiamen  
1028,Nicole,5472,1,TARUMT  
1029,Jason,12874,1,TARUMT  
1030,Lily,13659,2,UM  
1031,Kevin,5352,2,APU  
1032,Emma,10914,2,TARUMT  
1033,Eric,10981,1,APU  
1034,Chong,12045,1,APU  
1035,Scott,8418,2,TARUMT  
1036,Zoe,9345,2,APU  
1037,Mark,11648,2,Sunway  
1038,Anna,13308,1,INTI  
1039,Paul,10884,2,INTI  
1040,Kate,13340,2,APU  
1041,George,9338,1,Monash  
1042,Diana,8829,2,Sunway  
1043,Tyler,4271,2,Xiamen  
1044,Julia,9582,2,Sunway  
1045,Aaron,9103,2,Taylors  
1046,Nina,8676,2,INTI  
1047,Kyle,8695,2,Xiamen  
1048,Clara,4138,2,Xiamen  
1049,Sean,3195,1,APU  
1050,Alice,3637,1,UM  
1051,Jacob,3910,2,Taylors  
1052,Natalie,8613,1,Sunway  
1053,Trevor,6665,1,Sunway  
1054,Hazel,4875,2,APU  
1055,Ethan,9165,2,Xiamen  
1056,Leah,5509,2,Monash  
1057,Derek,6712,1,TARUMT  
1058,Ruby,6955,1,Taylors  
1059,April,6481,2,Sunway  
1060,Mason,5374,2,Xiamen  
1061,Holly,3171,2,INTI  
1062,Felix,6677,2,UM  
1063,Faith,3726,1,Sunway  
1064,Henry,3536,1,INTI  
1065,Shane,7435,1,Monash  
1066,Wendy,4715,2,UM  
1067,Joel,9583,2,TARUMT  
1068,Skye,2539,2,UM  
1069,Peter,6593,2,TARUMT  
1070,Amber,5676,2,APU  
1071,Calvin,13372,2,Xiamen  
1072,Sadie,8841,1,Taylors  
1073,Owen,12138,2,Taylors  
1074,Elsie,12140,2,INTI  
1075,Miles,14443,2,APU  
1076,Piper,11700,1,Sunway  
1077,Dean,11454,1,Sunway  
1078,Lacey,12443,2,UM  
1079,Gavin,9250,2,APU  
1080,Heidi,8698,2,Sunway  
1081,Ellis,11989,1,Monash  
1082,Rory,11454,1,Monash  
1083,Ivy,11729,1,TARUMT  
1084,Jesse,13447,2,TARUMT  
1085,Macy,12524,1,UM  
1086,Hugo,12717,1,INTI  
1087,Iris,13632,2,UM  
1088,Toby,9737,2,Sunway  
1089,Elle,10047,2,APU  
1090,Andre,10595,1,INTI  
1091,Belle,10507,2,UM  
1092,Oscar,11890,1,Sunway  
1093,Dora,10580,2,APU  
1094,Sienna,9444,2,APU  
1095,Reece,10164,1,UM  
1096,Lana,11411,1,Taylors  
1097,Troy,10047,2,TARUMT  
1098,Elise,11444,1,INTI  
1099,Damon,11268,1,Xiamen  
1100,Tessa,10258,1,APU  
